prompt,generated_text,language
Men det var,"Men det var ikke bare i Norge at det ble en stor dag for de norske fargene. I Sverige ble det også norsk jubel da Ingvild Flugstad Østberg gikk inn til en sterk andreplass på kvinnenes 10 kilometer i fri teknikk i Falun. Østberg var bare 0,4 sekunder bak vinneren Charlotte Kalla og var med det bare 0,4 sekunder fra å ta sin første verdenscupseier i karrieren. – Det var veldig gøy. Jeg hadde ikke trodd at jeg skulle være så nær seieren, sa Østberg til NRK etter rennet. – Jeg er veldig fornøyd med å være så nær seieren. Jeg hadde ikke trodd at jeg skulle være så nær, sa Østberg. Østberg var også svært fornøyd med at hun klarte å holde Kalla bak seg på oppløpet. – Jeg er veldig fornøyd med at jeg klarte å holde Kalla bak meg på oppløpet. Det er en god følelse, sa Østberg.",nno
Det var ein,"Det var ein gong ein mann som hadde tre søner. Den yngste heitte Per, den mellomste heitte Pål, og den eldste heitte Espen Askeladd. Per og Pål var to skikkelege latsabbar, og Espen var den som alltid fann på noko morosamt. Ein dag sa Per og Pål til Espen at dei ville ut i verda og prøve lykka. Espen sa at han ville vere med, og så drog dei av stad. Dei gjekk langt og lenger enn langt, og til slutt kom dei til kongsgarden. Der gjekk dei inn og spurde om dei kunne få teneste der. Kongen sa at han hadde bruk for ein som kunne stelle i stand til bryllaupet hans, og det kunne Espen gjere. Han fekk med seg ei øks og eit grev, og så drog han ut i verda for å leite etter bryllaupsgåver. Han gjekk langt og lenger enn langt, og til slutt kom han til eit berg. Der sat det ei gammal kjerring",nno
Det var så,"Det var så mange som ville være med på å feire at det ble trangt om plassen i lokalene til Frivilligsentralen i Hokksund lørdag ettermiddag. Det var nemlig duket for den årlige juleavslutningen for de frivillige som har stilt opp for å hjelpe til med å arrangere julefeiringen for de som ikke har noen å feire jul sammen med.
– Det er så mange som har stilt opp i år at vi måtte flytte arrangementet til Frivilligsentralen, sier leder for Frivilligsentralen i Øvre Eiker, Anne Merete Bjørnerud.
Hun forteller at det er mange som har meldt seg som frivillige, men at det er plass til flere.
– Vi har behov for flere frivillige, så det er bare å melde seg, sier hun.
Det var mange som hadde tatt turen til Frivilligsentralen for å være med på juleavslutningen. Det var både frivillige og brukere av Frivilligsentralen som hadde tatt turen for å være med på juleavslutningen.
– Det er veldig hyggelig å være med",nno
Ja det var,"Ja det var en fin tur! Vi var på tur i går også, men da var det ikke så fint vær. Vi gikk til en gapahuk som ligger i nærheten av der vi bor. Det var en fin tur og vi fikk grillet pølser og pinnebrød. Det var veldig koselig! Vi var der sammen med noen venner av oss og vi hadde det veldig gøy. Vi gikk også på en liten tur i skogen og der fant vi masse blåbær. Det var veldig godt! Vi har også vært på en liten tur i dag og da gikk vi til en annen gapahuk som ligger i nærheten av der vi bor. Det var også en fin tur og vi grillet pølser og pinnebrød der også. Det var veldig koselig! Vi var der sammen med noen venner av oss og vi hadde det veldig gøy. Vi gikk også på en liten tur i skogen og der fant vi masse blåbær. Det var veldig godt! Vi har også vært på en liten tur i dag og da gikk vi",nno
Ja det er,"Ja det er en god ide at have en god og solid madras, men det er ikke det eneste der er vigtigt for at få en god nattesøvn. Det er også vigtigt at du har en god dyne og pude, så du kan holde varmen om natten. Det er også vigtigt at du har en god hovedpude, så du ikke får ondt i nakken af at sove på den. Det er også vigtigt at du har en god dyne og pude, så du ikke får ondt i nakken af at sove på den. Det er også vigtigt at du har en god hovedpude, så du ikke får ondt i nakken af at sove på den. Det er også vigtigt at du har en god dyne og pude, så du ikke får ondt i nakken af at sove på den. Det er også vigtigt at du har en god hovedpude, så du ikke får ondt i nakken af at sove på den. Det er også vigtigt at du har en god dyne og pude, så du ikke får ondt",nno
Så var det,Så var det dags för en ny vecka och jag har haft en riktigt bra helg. I fredags var jag och min man på bio och såg filmen The Martian. Den var riktigt bra och jag rekommenderar den varmt. I lördags var vi på en liten shoppingrunda och jag köpte bland annat en ny väska och ett par nya skor. Igår var vi på en liten utflykt till en sjö och jag passade på att ta lite bilder på den vackra naturen. Jag har även hunnit med att baka lite och idag har jag varit på en liten shoppingrunda igen. Jag köpte bland annat en ny klänning och ett par nya skor. Jag har även hunnit med att träna lite och jag har även hunnit med att städa lite. Jag har även hunnit med att umgås med min man och vi har även hunnit med att titta på en film. Jag har även hunnit med att läsa lite i min bok och jag,nno
Det var som,Det var som om det var i går at jeg var på vei til min første skoledag. Jeg var så spent og gledet meg så mye til å begynne på skolen. Jeg husker at jeg hadde på meg en blå kjole og en hvit bluse. Jeg hadde også på meg en blå ransel og et par hvite sko. Jeg husker at jeg var så stolt over å ha fått min første skoledagbok. Jeg husker at jeg hadde på meg en blå kjole og en hvit bluse. Jeg hadde også på meg en blå ransel og et par hvite sko. Jeg husker at jeg var så stolt over å ha fått min første skoledagbok. Jeg husker at jeg hadde på meg en blå kjole og en hvit bluse. Jeg hadde også på meg en blå ransel og et par hvite sko. Jeg husker at jeg var så stolt over å ha fått min første skoledagbok. Jeg husker at jeg hadde på meg en blå kjole og en hvit bluse. Jeg hadde også på meg en blå ransel,nno
Det er ikkje,"Det er ikkje berre i Noreg at det er stor interesse for å få til eit samarbeid om å få til eit felles nordisk kraftmarknad. I Sverige har det vore arbeidd med dette i fleire år, og no er det klart at det blir eit felles nordisk kraftmarknad frå 1. januar 1996. Det er den svenske regjeringa som har vedteke at det skal bli eit felles nordisk kraftmarknad. Det er ikkje vedteke noko om kor stor del av kraftproduksjonen som skal vere med i den felles nordiske kraftmarknaden. Det er heller ikkje vedteke noko om kor stor del av kraftforbruket som skal vere med i den felles nordiske kraftmarknaden. Det er heller ikkje vedteke noko om kor stor del av kraftproduksjonen som skal vere med i den felles nordiske kraftmarknaden. Det er heller ikkje vedteke noko om kor stor del av kraftforbruket som skal vere med i den felles nordiske kraftmarknaden. Det er heller ikkje vedteke noko om kor stor del av kraftproduksjonen",nno
Kor mange prosent,"Kor mange prosent av dei som har røysterett i Noreg, er under 18 år? A. Ca. 10 prosent B. Ca. 20 prosent C. Ca.
. Kva er det som gjer at ein kan sjå forskjell på ein hann og ei hoe av arten Homo sapiens? A. Dei har ulike kjønnsorgan B. Dei har ulike kromosom C. Dei har ulike genar Kva er det som gjer at ein kan sjå forskjell på ein hann og ei hoe av arten Homo sapiens? A. Dei har ulike kjønnsorgan B. Dei har ulike kromosom C. Dei har ulike genar Kva er det som gjer at ein kan sjå forskjell på ein hann og ei hoe av arten Homo sapiens? A. Dei har ulike kjønnsorgan B. Dei har ulike kromosom C. Dei har ulike genar Kva er det som gjer at ein kan sjå forskjell på ein hann og ei hoe av arten Homo sapiens? A. Dei har ulike kjønnsorgan B. Dei har",nno
Det er veldig,"Det er veldig mange som har vært innom og sett på huset vårt, og det er veldig hyggelig. Vi har fått mange positive tilbakemeldinger, og det er jo hyggelig. Det er også mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og sett på tomta og området rundt, og det er jo også veldig hyggelig. Det er mange som har vært innom og",nno
