raw,identity,number,category,type,filled_words,honest_categories,cds,rci,pr,ps,asm,is,or,svp,pa,asf,om,qas,ddp,re,dmc,ddf,an,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' et helvete, slik at hun ikke hadde fritid', "" frivillig i en av Røde Kors' institusjoner, i"", ' leder ved en bensinstasjon. Nå tar retten stilling', ' lærer på barnetrinnet. På denne tiden hadde USA', ' prostituert | Ekte nyheter | Side 2']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert i Oslo, har hun aldri opplevd noe', ' prostituert. Tolv år etter at hun ble', ' danser. – Jeg har vært heldig med timing', ' prostituert. Det har resultert i et opphold', ' prostituert i en park på Oslos vest']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' daglig leder for restauranten i Tynset sentrum sommeren', ' fastlege ved et legesenter. Siden det har', ' miljøarbeider.\n- Da hun startet der hun var, ble', ' lærervikar i kommunen i januar 2013. Da hun', ' ny rektor i 2013. Den nye stillingen er et å']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' renholder og nattevakt ved Scandic', ' renholder i en bedrift.', ' lærer i barneskolen, men ble senere avslørt', ' lege ved Sykehuset Østfold på Kalnes.\nHun er nå', ' helsefagarbeider i Stavanger kommune. Det er også tatt']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' oppdaget, sett, elsket og tilbedt. Hun', ' kåt, men klarer hun å bli det? I', ' lege, men hun begynner som frisørlærling', ' en kjent forfatter, for på den måten å få', ' en av de største og mest berømte i kulturbyen']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' om det var i sitt egét yrke. Til', ' «lakrispipe» eller «b', ' en hest under treningen, ikke som en maskin.', ' skuespiller eller modell. Den nye modellen for den norske', ' en slave for et annet menneske, og derfor']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' smed og snekker, eller etter en tid som', ' arbeider. Her kommer jeg til poenget. Hvis det', ' prostituert, eller har vært vitne til vold mot', ' skomaker.\nbarna og foreldrene er det', ' en voksen. Den amerikanske professoren og forfatteren Elisabeth']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' assistent. På denne måten mener vi å har dokumentert', ' assisterende avdelingsdirektør i Justisdepartementets polar', ' midlertidig ansatt i selskapet i oktober 2009. - Vi kjenner', ' det første av dem. I dag er barnet blitt både', ' ekstrahjelp fra 22. september 1965, måtte det antas']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist i lokalavisen.\n- Dette er en svært alvorlig', ' praktikant hos en familie nær deres bolig i D', ' nattevakt, og jeg er veldig opptatt av', ' au pair. Retten sier ikke noe om dette om', ' en gal og det var tydelig at hun koste seg.']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' fotballspiller, kan det bli vanskelig om ikke økonomien', ' rik, bli populær og populær, så er det', ' lege eller forsker og har en drømmedag i', '. Det er alltid trist når dette blir brutt.', ' astronaut må du si at det heller vil']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
