tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, med, i, sæson, 21, som, blev, sendt, i, starten, af, 2001., En, af, dem, blev, forfatter, og, har, siden, været, med, på, to, sæsoner, som, instruktør, og, en, anden, har, også, været, vært, på, et, af, showets, sæssioners, eftershow.^{[kilde, mangler, ], }, Den, sidste, af, trioen, skifter, karrierer, mellem, TV, og, film, ., 

, -, Tavis, Smiley, :, Instrukteur, og, host, på, 67th, Primetime, Emmys, eftershow, ., 
, -, Don, Roos, :, Har, været, med, som, sæson, 11, vinder, ., 

, #, #, Sæson, 21, (, Afl, ., 136, til, Afl, ., 162, ), 

, De, 24, tilmeldte, :, 

, |, Sæson, 21, –, Amerikanske, Producere]",CCONJ PRON AUX ADP ADP NOUN NUM PRON X VERB ADP NOUN ADV NUM DET ADJ PRON ADJ NOUN CCONJ VERB ADP NOUN ADP ADP NUM NOUN SCONJ NOUN CCONJ DET NOUN AUX ADV NOUN AUX ADP DET X NOUN PROPN NOUN NOUN PUNCT PROPN PROPN X NOUN NOUN VERB VERB ADJ NOUN CCONJ NOUN PUNCT SPACE PUNCT PROPN PROPN PUNCT PROPN CCONJ VERB ADP NOUN PROPN PROPN X PUNCT SPACE PUNCT PROPN PROPN PUNCT AUX NOUN ADP SCONJ NOUN NUM NOUN PUNCT SPACE NOUN PROPN PROPN NUM PUNCT PROPN PUNCT NUM ADP PROPN PUNCT NUM PUNCT SPACE DET NUM VERB PUNCT SPACE PUNCT PROPN NUM PUNCT ADJ PROPN,0.11740890688259109,0.4375730337078651,109,494,0.3119266055045872,0.09372753760230061
"[Det, var, ein, kongurig, forsinkelse, i, produksjonen, av, ny, og, god, beleggshage-literatur, i, perioden, 1940-45., Det, er, overhovedet, usikkert, hvor, mye, forsinkelse, vi, burde, se, som, resultat, av, krigsforloppet, til, sak, ,, men, det, synes, klart, at, det, var, ganske, betydelig, ., 

, Kongurig, forsinkelse, for, å, si, den, må, betraktes, som, kriminalitet, ,, ikke, sikert, bortsett, fra, at, det, var, ganske, naturlig, at, dette, skulle, skje, på, det, spesielle, punktet, som, følger, av, alt, som, var, skjedd, på, tiden, ., 

, Jeg, har, set, de, fleste, bestilte, bøker, som, har, blitt, stilte, for, en, bestilling, i, 1942/43, ,, og, som]",PRON AUX X NOUN NOUN ADP NOUN ADP ADJ CCONJ ADJ NOUN ADP NOUN NUM PRON AUX NOUN ADJ ADV ADJ NOUN PRON AUX VERB SCONJ NOUN ADP NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ SCONJ PRON AUX ADV ADJ PUNCT SPACE PROPN NOUN SCONJ PART VERB PRON AUX VERB SCONJ NOUN PUNCT PART ADJ ADJ SCONJ SCONJ PRON AUX ADV ADJ SCONJ PRON AUX VERB ADP DET ADJ NOUN PRON VERB ADP PRON PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX VERB DET ADJ ADJ NOUN PRON AUX AUX VERB ADP DET NOUN ADP NUM PUNCT CCONJ PRON,0.0703971119133574,0.38289108910890995,101,554,0.6534653465346535,0.16992158905497215
"[Det, var, så, pass, gammalt, ., Vi, bor, i, Stockholm, 1981, och, arbetade, på, Olof, Palmes, riksdagskansli, som, politisk, sekreterare, till, hans, hustru, Lisbeth, ., Vi, hade, fritidsjobb, för, att, försörja, oss, som, lantarbetare, på, ett, lantbruk, nära, Sjöbo, ,, Skåne, ., Mitt, vart, annat, fritidsjobb, fick, jag, så, få, människor, ., Det, var, värre, tiden, att, vara, kommunist, och, jobba, rättvisa, inför, folkets, rättvisa, ., 

, Vi, mötte, för, första, gången, på, arbetsmarknadsfirandet, som, hålls, i, Ungdomens, hus, ,, Stortorget, i, Stockholm, och, vi, var, två, gastarbétare, från, Jugoslavien, ., Från, det, till, dess, att, han, inte, lämnade, Sver]",PRON AUX ADV NOUN ADJ PUNCT PRON VERB ADP PROPN NUM X NOUN ADP PROPN PROPN PROPN SCONJ ADJ ADV X PRON NOUN PROPN PUNCT PRON VERB ADJ X X PROPN PRON SCONJ VERB ADP NUM NOUN ADJ PROPN PUNCT PROPN PUNCT PROPN X PROPN X PROPN X ADV ADJ NOUN PUNCT PRON AUX ADJ NOUN X X X X VERB NOUN NOUN NOUN NOUN PUNCT SPACE PRON VERB X X NOUN ADP NOUN ADP NOUN ADP PROPN NOUN PUNCT PROPN ADP PROPN X PRON AUX PROPN PROPN X PROPN PUNCT VERB X X X X PRON VERB NOUN PROPN,0.07420494699646643,0.4044874274661505,100,566,0.31,0.08070967110861366
"[Ja, det, var, så, fint, att, spela, på, SXSW, i, Austin, ,, Texas, som, vi, gjorde, förra, veckan, !, Samma, dag, som, vi, landade, i, Atlanta, i, norra, Georgia, var, vi, på, sin, fjärde, spelsession, ,, varpå, hjärnödem, påbörjade, en, kraftig, förskjutning, för, oss, så, att, vi, ljude, från, klarno, till, nya, höjder, (, jag, talar, det, av, teorien, att, musikkens, funktion, är, att, göra, folk, hög, !, ), ., 

, Here, are, some, of, the, thoughts, I, got, from, SXSW, that, could, be, of, interest, to, artists, and, anyone, interested, in, arts, and, culture, :, 

, Fredrikstad, was, chosen, by, the, American, consulate, in, Stockholm, as, a, model, of, success, for, sustainable, growth, and, development, ., Fredrikstad, is, a, small, city, located, in, the, east, of, Norway, ,, just, across, the, water, from, its, neighbor, country, of, Sweden, ., The, city, is, built]",INTJ PRON AUX ADV ADJ X X ADP PROPN ADP PROPN PUNCT PROPN PRON PRON VERB NOUN PROPN PUNCT ADJ NOUN PRON PRON ADJ ADP PROPN ADP PROPN PROPN AUX PRON ADP PRON VERB NOUN PUNCT ADJ NOUN NOUN DET ADJ ADJ X PRON ADV VERB PRON NOUN X PROPN X X PROPN PUNCT X X X ADP NOUN X X X X X X NOUN X PUNCT PUNCT PUNCT SPACE PROPN X X X X X ADP X X X X X X X X NUM NOUN X X X X X X PROPN PUNCT SPACE PROPN PROPN PROPN X X PROPN X X PROPN X X X X X X X X X X PUNCT PROPN X X X PROPN X X X X X PROPN PUNCT X X X X X X PROPN PROPN X PROPN PUNCT PROPN PROPN X X,0.06318681318681318,0.40067746686303396,144,728,0.2847222222222222,0.1634933899004878
"[Ja, det, er, så, godt, for, mænd, og, kvinder, ,, hver, for, sig, 
, Jokker, –, det, er, så, godt, at, jeg, har, denne, !, 
, Jeg, er, selv, tilfreds, med, hjemmet, !, 
, Jeg, elsker, min, lille, bil, !, 
, Det, var, en, sød, stund, vi, har, forstået, hinanden, !, 
, Hjemmet, er, for, dette, huset, 
, Man, tager, sine, 67, års, fødselsdag, med, stor, spænding, 
, For, jeg, elsker, mig, selv, 

, Jeg, er, hele, i, fodet, og, har, meget, godt, brug, for, det, 
, For, jeg, er, den, der, har, det, bedst, 
, Hvor, det, hører, på, min, lille, mand, med, mig, 
, Vi, kan, gå, i, et, skrævende, vejr, 
, Jeg, føler, mig, så, glad, 
, Så, jeg, er, tilfreds, og, det, er]",INTJ PRON AUX ADV ADJ ADP NOUN CCONJ NOUN PUNCT DET ADP ADV SPACE NOUN PUNCT PRON AUX ADV ADJ SCONJ PRON VERB PRON PUNCT SPACE PRON AUX ADV ADJ ADP NOUN PUNCT SPACE PRON VERB PRON ADJ NOUN PUNCT SPACE PRON AUX DET ADV NOUN PRON VERB NOUN NOUN PUNCT SPACE NOUN AUX ADP DET NOUN SPACE PRON VERB PRON NUM NOUN NOUN ADP ADJ NOUN SPACE CCONJ PRON VERB NOUN DET SPACE PRON AUX ADJ ADP NOUN CCONJ VERB ADV ADJ ADJ ADP PRON SPACE CCONJ PRON AUX PRON ADV VERB PRON PROPN SPACE ADV PRON VERB ADP PRON ADJ PROPN ADP X SPACE PRON AUX VERB ADP DET ADJ NOUN SPACE PRON VERB NOUN ADV ADJ SPACE SCONJ PRON AUX ADJ CCONJ PRON AUX,0.07269155206286837,0.4003043478260874,127,509,0.5748031496062992,0.10307466290361092
"[Så, var, det, lurt, med, "", Enkelsteknik, 2018, "", på, Långholmen, i, Stockholm, ., Detta, var, mitt, nionde, seminarium, –, och, det, bästa, ännu, -, på, Långholmen, ,, och, varade, från, måndag, den, 8, juni, ,, tisdag, 9, juni, och, onsdag, 10, juni, ., 

, Här, följer, delar, av, min, bildgalleri, ., De, bilder, som, sålldes, finns, att, beskåda, här, ., 

, Enkelsteknik, 2018, på, Långholmen, Galleri, 
, Enkelsteknik, 2018, på, Långholmen, Galleri, 2, 
, Enkelsteknik, 2018, på, Långholmen, Galleri, 3, 
, Enkelsteknik, 2018, på, Långholmen, Galleri, 4, 
, Enkel]",ADV AUX PRON ADJ ADP PUNCT PROPN NUM PUNCT ADP PROPN ADP PROPN PUNCT PROPN AUX PRON ADJ NOUN PUNCT X X X X PUNCT ADP PROPN PUNCT X X X NOUN DET NUM NOUN PUNCT NOUN NUM NOUN X NOUN NUM NOUN PUNCT SPACE PROPN PROPN NOUN ADP PRON NOUN PUNCT DET NOUN ADP ADJ X X X X PUNCT SPACE PROPN NUM ADP PROPN PROPN SPACE PROPN NUM ADP PROPN PROPN NUM SPACE PROPN NUM ADP PROPN PROPN NUM SPACE PROPN NUM ADP PROPN PROPN NUM SPACE NOUN,0.09523809523809523,0.46474576271186263,90,462,0.28888888888888886,0.08074799638810377
"[Det, var, som, en, dröm, att, vara, en, fjäder, i, hans, kläder, 
, Det, var, en, härlig, gnäll, att, få, vara, mitt, mjukfett, 
, Det, var, en, skönsällsamhet, att, se, sin, själ, mot, mig, 
, Vare, en, fjäder, i, dess, skinnbeklädnad, 
, Vare, en, fjäder, i, dess, skinnbeklädnad, 
, Vare, ett, hjärta, i, dess, skinnbeklädnad, 
, Vare, en, fjäder, i, dess, skinnbeklädnad, 

, Jag, har, sett, dessa, döda, vänner, på, nattklubbar, 
, Men, som, vara, min, vän, till, dessa, kvinnor, 
, Jag, har, gjort, ett, misstag, vid, sista, takternas, håll, 
, Jag, har, vaktat, den, gudinna, ,, jag, har, varit, en, styrka, åt, henne, 
, Jag, är, i]",PRON AUX ADP DET NOUN X X DET NOUN ADP PRON NOUN SPACE PRON AUX DET ADJ ADJ X X NOUN PRON NOUN SPACE PRON AUX DET NOUN X VERB PRON PROPN ADP X SPACE NOUN DET NOUN ADP ADV PROPN SPACE NOUN DET NOUN ADP ADV PROPN SPACE NOUN NUM NOUN ADP ADV PROPN SPACE NOUN DET NOUN ADP ADV PROPN SPACE X AUX VERB NOUN PROPN PROPN ADP NOUN SPACE CCONJ SCONJ NOUN PRON X X PROPN X SPACE PROPN AUX VERB NUM ADJ ADJ PROPN PROPN PROPN SPACE PROPN AUX NOUN DET PROPN PUNCT X AUX PROPN DET NOUN VERB PRON SPACE X X X,0.060903732809430254,0.3808260869565227,108,509,0.4074074074074074,0.06782359977765656
"[Det, er, ikkje, kjapp, å, leita, opp, riksdåvarlega, informasjon, um, det, ,, og, selv, massemediene, har, ikke, skrudd, med, opp, datan, ., Via, :, Politisk, Blogg, |, Ketil, Lund, (, Vårt, Demokrati, ), 

, The, EU, and, Sweden, have, always, acted, in, cahoots, with, Russia, ,, despite, their, public, stance, being, critical, towards, a, country, that, is, increasingly, hostile, ., In, this, matter, ,, it, seems, that, Sweden, has, again, chosen, to, be, in, the, wrong, side, of, history, ., 

, Sweden, has, a, very, long, history, as, a, nation, ., The, Swedes, ’, ancestors, were, one, of, the, first, people, to, spread, across, Europe, in, a, process, going, almost, half, a, millennia, ago, ,, reaching, as, far, as, Scandinavia, and, the, Baltic, Sea, ,, Russia, ’, s, North, ,, Ukraine, ,, the, British, Isles, and, Western, Europe, ., The, last, hundred, years, of, Swedish, history, are, a, rather, short, period, of, their, collective, history, ., In, fact, ,, the]",PRON AUX ADV ADJ PART VERB ADP ADJ NOUN X PRON PUNCT CCONJ ADV NOUN AUX PART VERB ADP ADP NOUN PUNCT ADP PUNCT ADJ PROPN PUNCT PROPN PROPN PUNCT PROPN NOUN PUNCT SPACE PROPN PROPN X PROPN X X X X PROPN X PROPN PUNCT X X X PROPN X X X X X X X ADJ ADJ PUNCT ADJ X X PUNCT X X X PROPN X X NOUN X X X X X NOUN X X PUNCT SPACE PROPN X X X X PROPN X X X PUNCT PROPN PROPN ADJ PROPN X X X X X PROPN X X X X X X X X X X PROPN PROPN X PUNCT NOUN X NOUN PROPN PROPN X X PROPN PROPN PUNCT PROPN X NOUN PROPN PUNCT PROPN PUNCT X PROPN PROPN X PROPN PROPN PUNCT PROPN X X X X PROPN X X X X X X X X ADJ PROPN PUNCT X PROPN PUNCT X,0.05875,0.3869507323568576,160,800,0.19375,0.1776503680118672
"[Kor, mange, prosent, av, unge, menn, tenker, litt, skal, ut, på, avhengige, opplevelser, ,, med, oppbyggende, opplevelser, som, en, viktig, målrutte, ?, 

, “, Vi, tar, med, alt, med, oss, ”, er, tittelslett, sin, nettside, ,, og, de, unge, menn, som, har, følt, det, hadde, ikke, noen, alternativer, til, å, samles, med, noen, som, heldig, til, er, like, følelsesmæssig, som, meg, –, og, det, har, fått, en, veldig, positiv, effekt, ., ”, 

, #, #, #, About, us, 

, We, are, a, volunteer-based, nonprofit, society, that, works, with, and, for, young, people, ., The, association, is, an, approved, social, welfare, organisation, ., We, have, a, total, of, 120, employees, in, all, three, services, ., 

, The, association, was, initiated, in, 1999, from, a, need, to, increase, the, offerings, for, young, people, in, our, society, ., Today, we, have, over, 120]",ADV ADJ NOUN ADP ADJ NOUN VERB ADJ VERB ADP ADP ADJ NOUN PUNCT ADP ADJ NOUN SCONJ DET ADJ NOUN PUNCT SPACE PUNCT PRON VERB ADP PRON ADP PRON PUNCT AUX ADJ PRON NOUN PUNCT CCONJ DET ADJ NOUN PRON AUX VERB PRON VERB PART DET NOUN SCONJ PART VERB ADP PRON PRON ADJ ADP AUX ADV ADJ ADP PRON PUNCT CCONJ PRON AUX VERB DET ADJ ADJ NOUN PUNCT PUNCT SPACE NOUN NOUN NOUN PROPN X SPACE X X X X X X X X X X X PROPN PROPN PUNCT PROPN X X X X X PROPN X PUNCT PROPN X X X X NUM PROPN X X X PROPN PUNCT SPACE PROPN X X X X X X X X X X X X ADP X PROPN X X NOUN PUNCT PROPN X X ADP NUM,0.06258890469416785,0.38360856269113114,140,703,0.4,0.1757276000670298
"[Det, er, veldig, korket, i, denne, sønnen, ,, og, vi, kan, kun, anbefale, dette, året, og, de, følgende, år, ., Foråret, er, lange, ,, som, i, alle, landssirkler, ,, og, vi, stort, sett, har, en, uendelig, del, av, året, som, jeg, kan, være, uten, for, de, strenge, vindene, i, den, sydlige, delen, av, Island, (, southern, hemisphere, ), ., Hvis, du, søker, et, sted, hvor, åpen, natt, skygger, i, et, nøyaktig, formel, ,, det, er, Islands, sydside, ,, med, de, søtte, bakgrunnene, og, det, 300, kilometer, fra, Nordnorge, ,, det, 25, kilometer, over, havet, ,, som, blir, et, lite, mørkt, natt, ., Det, er, ikke, den, mørkeste, natt, ,, i, virkeligheten, ,, den, er, faktisk, den]",PRON AUX ADJ VERB ADP DET NOUN PUNCT CCONJ PRON AUX ADV VERB DET NOUN CCONJ DET ADJ NOUN PUNCT NOUN AUX ADJ PUNCT PRON ADP DET NOUN PUNCT CCONJ PRON ADJ VERB VERB DET ADJ NOUN ADP NOUN PRON PRON AUX AUX ADP ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT PROPN NOUN PUNCT PUNCT SCONJ PRON VERB DET NOUN ADV ADJ NOUN NOUN ADP DET ADJ NOUN PUNCT PRON AUX PROPN NOUN PUNCT ADP DET ADJ NOUN CCONJ DET NUM NOUN ADP PROPN PUNCT DET NUM NOUN ADP NOUN PUNCT PRON VERB DET ADJ ADJ NOUN PUNCT PRON AUX PART DET ADJ NOUN PUNCT ADP NOUN PUNCT PRON AUX ADJ PRON,0.06884057971014493,0.3792047713717691,116,552,0.5948275862068966,0.1519182048666025
