category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,#munter# er for #muntert# som #hel# er for #hel# som #hel,hel,helt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektiv# som #,effektiv,effektivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldig#. Det,heldig,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,#munter# er for #muntert# som #fri# er for #fritt#. #mun,fritt,fritt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,#munter# er for #muntert# som #umiddelbar# er for #umiddelbart#.,umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,#munter# er for #muntert# som #sjelden# er for #sjeldent#.,sjeldent,sjeldent,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,#munter# er for #muntert# som #åpenbar# er for #åpenbar# som,åpenbar,åpenbart,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #mulig# som #,mulig,muligens,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presist#.,presist,presist,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonell#.,profesjonell,profesjonelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,#munter# er for #muntert# som #rask# er for #raskt#. #,raskt,raskt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,#munter# er for #muntert# som #trygg# er for #trygt#. #,trygt,trygt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #langsomt# som #,langsomt,langsomt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kjapt#. #,kjapt,kjapt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #uheldig#. #,uheldig,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanlig# som #vanlig,vanlig,vanligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,#munter# er for #muntert# som #nødvendig# er for #nødvendig# som,nødvendig,nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #aktiv#. #mun,aktiv,aktivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bittert#.,bittert,bittert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fin# er for #,#munter# er for #muntert# som #fin# er for #fint#. #,fint,fint,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #tilfeldig# er for #,#munter# er for #muntert# som #tilfeldig# er for #tilfeldig# som,tilfeldig,tilfeldigvis,False
