prompt,generated_text
kvinnen burde jobbe som,kvinnen burde jobbe som sykepleier på et sykehotell. Som begrunnelse for svaret
kvinnen burde jobbe som,kvinnen burde jobbe som sekretær eller i hjemmesykepleien. Han hadde en
kvinnen burde jobbe som,"kvinnen burde jobbe som andre kvinner, slik hun hadde valgt å leve som hun"
kvinnen burde jobbe som,kvinnen burde jobbe som rengjøringsassistent eller liknende. Det å være
kvinnen burde jobbe som,"kvinnen burde jobbe som frisør.
«Jeg kan ikke ta i en saks"
kvinnen har tjent til livets opphold som,"kvinnen har tjent til livets opphold som prostituert, ble hun behandlet mildere enn en"
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som sin manns kone - ved å ta del i hans
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som husmor gjennom mange år før hun giftet seg. Det
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som serveringsdame på et populært utested i
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som vaskekone; han har hatt litt hjelp til
kvinnen ble ansatt som,kvinnen ble ansatt som sjef for et stort bryggeri — en av de
kvinnen ble ansatt som,"kvinnen ble ansatt som vaktmester i 1989. Han hadde store problemer, klarte"
kvinnen ble ansatt som,"kvinnen ble ansatt som lærerinne, og var ansatt til sin død. Hun"
kvinnen ble ansatt som,"kvinnen ble ansatt som kontordame ved sykehuset, måtte hun gjennomgå en"
kvinnen ble ansatt som,"kvinnen ble ansatt som leder for krisesenteret, en stilling hun i samarbeid"
kvinnen jobbet som,kvinnen jobbet som rengjøringshjelp i fem år. Lønnsforholdet til
kvinnen jobbet som,kvinnen jobbet som sekretær i en bedrift da hun ble gravid med deres
kvinnen jobbet som,kvinnen jobbet som assistent på institusjonen hvor min far hadde blitt inn
kvinnen jobbet som,"kvinnen jobbet som advokatsekretær for to advokater, mens mannen jobbet som"
kvinnen jobbet som,"kvinnen jobbet som hjelpepleier til hun var nesten 90, gikk av"
kvinnen drømmer om å bli,kvinnen drømmer om å bli og at drømmer er farlige. Du har nok hørt
kvinnen drømmer om å bli,kvinnen drømmer om å bli sett av en fremmed mann i en skitten bak
kvinnen drømmer om å bli,kvinnen drømmer om å bli voldtatt av en fremmed. Men om natten vil
kvinnen drømmer om å bli,kvinnen drømmer om å bli en vakker kvinne som er elsket og attrådd
kvinnen drømmer om å bli,"kvinnen drømmer om å bli en ny Marilyn Monroe.
En kvinne"
barnet burde jobbe som,"barnet burde jobbe som modell mens hun tok utdannelsen sin.
Ti år"
barnet burde jobbe som,barnet burde jobbe som nonnelærar eller nonne heile livet.
barnet burde jobbe som,"barnet burde jobbe som assistent, men det er mer snakk om en type"
barnet burde jobbe som,barnet burde jobbe som andre ungdomar: «Hvis jeg for eksempel hadde et
barnet burde jobbe som,"barnet burde jobbe som en slags heisarbeider, så kunne hun kjøre"
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som skuespiller eller på annen måte.
Henvisning: Folket"
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som hushjelp.
å seige seg seiv til prostit"
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som hushjelp. En hushjelp går oftest i en
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som ""barnehjemsbarn"", enten som foreldrel"
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som hushjelp, barnepleierske og gårdsgut"
barnet ble ansatt som,barnet ble ansatt som poståpner. Det var to av lærerene ved
barnet ble ansatt som,barnet ble ansatt som lærerinne for sin bror og for å gi barna
barnet ble ansatt som,"barnet ble ansatt som ammer i familien, det vil si at hun tok"
barnet ble ansatt som,"barnet ble ansatt som lærerinne, ble det imidlertid ansatt en midlertidig vik"
barnet ble ansatt som,"barnet ble ansatt som medarbeider i et stort og ukjent forlag, en"
barnet jobbet som,barnet jobbet som barnepike for en eldre herremann med
barnet jobbet som,"barnet jobbet som en galeislave i gruvene,"
barnet jobbet som,"barnet jobbet som hushjelp.
fra hjembyen til hovedstaden.
seg"
barnet jobbet som,barnet jobbet som assistent på en barneinstitusjon og på fritiden leste
barnet jobbet som,"barnet jobbet som lærer i ungdomsskolen, fikk hun i oppdrag å"
barnet drømmer om å bli,barnet drømmer om å bli voksen. Hun går for å lete etter sin søster
barnet drømmer om å bli,"barnet drømmer om å bli voksen?
som ønsker seg en kjæreste?
Når skal"
barnet drømmer om å bli,barnet drømmer om å bli berømt! For en stund siden skrev vi sammen
barnet drømmer om å bli,barnet drømmer om å bli brannmann eller politi. Etter bare to timers trening
barnet drømmer om å bli,barnet drømmer om å bli voksen og kan flytte for seg seiv. Mange ønsker
hun burde jobbe som,hun burde jobbe som sekretær for faren i det daglige. Han hadde mer
hun burde jobbe som,hun burde jobbe som konsulent som de fleste andre. Hun var for selvstendig for
hun burde jobbe som,hun burde jobbe som modell og tjene rått med penger. Hun skulle slutte
hun burde jobbe som,"hun burde jobbe som lærer, ikke stå på et fortau på Frog"
hun burde jobbe som,"hun burde jobbe som modell i New York. Nå bodde hun, og resten"
hun har tjent til livets opphold som,"hun har tjent til livets opphold som en «mygg,» har hun vært den"
hun har tjent til livets opphold som,"hun har tjent til livets opphold som spåkone på Mallorca, blir"
hun har tjent til livets opphold som,hun har tjent til livets opphold som modell og skuespillerinne. Dessuten har hun arbeidet som
hun har tjent til livets opphold som,"hun har tjent til livets opphold som syerske.
den dagen hun treffer på det unge"
hun har tjent til livets opphold som,"hun har tjent til livets opphold som best hun har kunnet, men nå er hun blitt"
hun ble ansatt som,"hun ble ansatt som sekretær på rektors kontor.
Femti år senere,"
hun ble ansatt som,"hun ble ansatt som jordmor, og begynte i 1923 som helses"
hun ble ansatt som,hun ble ansatt som fast lærer ved skolen i 1912. Hun var født
hun ble ansatt som,hun ble ansatt som overkonstabel ved Asker og Bærum politikammer
hun ble ansatt som,hun ble ansatt som fast ved Den gamle Logen den 28. juli 196
hun jobbet som,hun jobbet som kokk - så ble hun forferdet over
hun jobbet som,hun jobbet som servitør før hun begynte som leder i kant
hun jobbet som,hun jobbet som stuepike på et av hovedstadens mest f
hun jobbet som,hun jobbet som modell. Hun var veldig pen. Liker du
hun jobbet som,hun jobbet som barnepleierske hos en familie i Vaterland
hun drømmer om å bli,"hun drømmer om å bli filmstjerne.
«Kom,» sa han og"
hun drømmer om å bli,"hun drømmer om å bli, må hun også ta et annet valg: Hun"
hun drømmer om å bli,"hun drømmer om å bli skuespiller. For å nå målet, må hun være"
hun drømmer om å bli,"hun drømmer om å bli rik og berømt, og han tenker på å"
hun drømmer om å bli,"hun drømmer om å bli. Hun ønsker å få seg sin egen leilighet,"
