tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, var, en, viss, uro, ., I, Sverige, var, det, også, uro, ., I, 1918, ble, det, holdt, en, stor, demonstrasjon, i, Stockholm, mot, den, nye, krigsloven, ., Det, var, en, demonstrasjon, som, ble, holdt, i, protest, mot, at, det, var, blitt, vedtatt, en, lov, som, forbød, demonstrasjoner, og, som, også, forbød, å, vise, seg, offentlig, i, uniform, ., Det, var, en, demonstrasjon, som, ble, holdt, i, protest, mot, at, det, var, blitt, vedtatt, en, lov, som, forbød, demonstrasjoner, og, som, også, forbød, å, vise, seg, offentlig, i, uniform, ., Det, var, en, demonstrasjon, som, ble, holdt, i, protest, mot, at, det, var, blitt, vedtatt, en, lov, som, forbød, demonstrasjoner, og, som, også, forbød, å, vise, seg, offentlig, i, uniform, ., Det, var, en, demonstrasjon, som, ble, holdt, i, protest, mot, at, det, var, blitt, vedtatt, en, lov, som, forbød, demonstrasjoner, og, som, også, forbød, å, vise, seg, offentlig, i, uniform, ., Det, var, en, demonstrasjon, som, ble, holdt, i, protest, mot, at, det, var, blitt, vedtatt, en, lov, som, forbød, demonstrasjoner, og]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON AUX DET ADJ NOUN PUNCT ADP PROPN AUX PRON ADV NOUN PUNCT ADP NUM AUX PRON VERB DET ADJ NOUN ADP PROPN ADP DET ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN SCONJ SCONJ PRON AUX AUX VERB DET NOUN PRON VERB NOUN CCONJ PRON ADV VERB PART VERB PRON ADJ ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN SCONJ SCONJ PRON AUX AUX VERB DET NOUN PRON VERB NOUN CCONJ PRON ADV VERB PART VERB PRON ADJ ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN SCONJ SCONJ PRON AUX AUX VERB DET NOUN PRON VERB NOUN CCONJ PRON ADV VERB PART VERB PRON ADJ ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN SCONJ SCONJ PRON AUX AUX VERB DET NOUN PRON VERB NOUN CCONJ PRON ADV VERB PART VERB PRON ADJ ADP NOUN PUNCT PRON AUX DET NOUN PRON AUX VERB ADP NOUN SCONJ SCONJ PRON AUX AUX VERB DET NOUN PRON VERB NOUN CCONJ,0.036677454153182305,0.36059225512528476,181,927,0.6850828729281768,1.0
"[Det, var, ein, gong, ein, mann, som, hadde, ein, son, som, heitte, Tore, ., Han, var, så, stor, og, sterk, at, han, kunne, gjera, det, meste, ,, og, han, var, så, klok, at, han, kunne, læra, andre, det, han, sjølv, ikkje, kunne, ., Tore, var, ein, god, og, trugen, arbeidsmann, ,, og, han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, trugen, arbeidsmann, ., Han, var, ein, god, og, tru]",PRON AUX X X X NOUN PRON VERB X PROPN SCONJ ADJ PROPN PUNCT PRON AUX ADV ADJ CCONJ ADJ SCONJ PRON AUX VERB DET ADJ PUNCT CCONJ PRON AUX ADV ADJ SCONJ PRON AUX NOUN DET PRON PRON X X VERB PUNCT PROPN AUX X ADJ CCONJ NOUN NOUN PUNCT CCONJ PRON AUX ADJ ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ NOUN NOUN PUNCT PRON AUX X ADJ CCONJ X,0.033877038895859475,0.34585561497326417,170,797,0.6647058823529411,0.3372474357206435
"[Det, var, så, mye, å, gjøre, at, jeg, ikke, fikk, tid, til, å, skrive, noe, i, går, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å, skrive, noe, før, nå, ., Jeg, har, vært, på, jobb, i, hele, dag, ,, og, har, ikke, fått, tid, til, å]",PRON VERB ADV ADJ PART VERB SCONJ PRON PART VERB NOUN SCONJ PART VERB PRON ADP NOUN PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART VERB PRON ADP ADV PUNCT PRON AUX AUX ADP NOUN ADP ADJ NOUN PUNCT CCONJ AUX PART VERB NOUN SCONJ PART,0.03341288782816229,0.4212420785804802,223,838,0.820627802690583,0.7061325618842135
"[Ja, det, var, en, fin, tur, !, Jeg, har, ikke, vært, på, tur, med, hund, før, og, det, var, en, fin, opplevelse, ., Jeg, har, en, hund, som, er, veldig, glad, i, å, gå, på, tur, og, det, er, en, fin, måte, å, få, brukt, kroppen, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, leke, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, være, med, på, tur, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, leke, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, være, med, på, tur, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, leke, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, leke, og, det, er, en, fin, måte, å, få, brukt, hodet, på, ., Jeg, har, også, en, hund, som, er, veldig, glad, i, å, leke]",INTJ PRON AUX DET ADJ NOUN PUNCT PRON AUX PART AUX ADP NOUN ADP NOUN ADP CCONJ PRON AUX DET ADJ NOUN PUNCT PRON VERB DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB ADP NOUN CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART AUX ADP ADP NOUN CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART AUX ADP ADP NOUN CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB CCONJ PRON AUX DET ADJ NOUN PART AUX VERB NOUN ADP PUNCT PRON VERB ADV DET NOUN PRON AUX ADJ ADJ SCONJ PART VERB,0.0322180916976456,0.3814511873350924,210,807,0.7571428571428571,0.5467349842071251
"[Ja, det, er, ikke, så, lett, å, være, en, liten, gutt, som, skal, være, med, på, å, bestemme, hva, som, skal, skje, i, en, stor, by, ., Men, det, er, jo, ikke, så, rart, at, det, er, vanskelig, når, man, er, så, liten, som, jeg, er, ., Jeg, har, jo, ikke, så, mye, å, si, i, denne, saken, og, jeg, har, ikke, så, mye, å, si, om, det, som, skjer, i, denne, byen, ., Men, jeg, har, jo, lyst, til, å, si, noe, om, det, som, skjer, i, denne, byen, og, det, er, at, jeg, synes, at, det, er, så, mye, som, er, galt, med, denne, byen, ., Det, er, så, mye, som, er, galt, med, denne, byen, og, det, er, så, mye, som, er, galt, med, denne, byen, ., Det, er, så, mye, som, er, galt, med, denne, byen, og, det, er, så, mye, som, er, galt, med, denne, byen, ., Det, er, så, mye, som, er, galt, med, denne, byen, og, det, er, så, mye, som, er, galt, med, denne, byen, ., Det, er, så, mye, som, er, galt, med, denne, byen, og, det, er, så, mye, som, er, galt, med, denne, byen, ., Det, er, så, mye, som, er, galt, med, denne, byen, og, det, er, så]",INTJ PRON AUX PART ADV ADJ PART AUX DET ADJ NOUN PRON AUX AUX ADP SCONJ PART VERB PRON PRON AUX VERB ADP DET ADJ NOUN PUNCT CCONJ PRON AUX ADV PART ADV ADJ SCONJ PRON AUX ADJ SCONJ PRON AUX ADV ADJ PRON PRON AUX PUNCT PRON AUX ADV PART ADV ADJ PART VERB ADP DET NOUN CCONJ PRON VERB PART ADV ADJ PART VERB ADP PRON PRON VERB ADP DET NOUN PUNCT CCONJ PRON VERB ADV NOUN SCONJ PART VERB PRON ADP PRON PRON VERB ADP DET NOUN CCONJ PRON AUX SCONJ PRON VERB SCONJ PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN PUNCT PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN CCONJ PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN PUNCT PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN CCONJ PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN PUNCT PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN CCONJ PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN PUNCT PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN CCONJ PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN PUNCT PRON VERB ADV ADJ PRON AUX ADJ ADP DET NOUN CCONJ PRON AUX ADV,0.03308823529411765,0.33966101694915524,210,816,0.819047619047619,1.0
"[Så, var, det, tid, for, å, ta, turen, til, den, andre, siden, av, jordkloden, for, å, besøke, en, av, de, største, og, mest, kjente, filmprodusentene, i, Hollywood, ., Det, var, en, spent, gjeng, som, møtte, opp, på, flyplassen, i, Los, Angeles, ,, klare, for, å, ta, turen, til, Hollywood, ., Vi, ble, møtt, av, en, hyggelig, og, hjelpsom, guide, som, tok, oss, med, til, hotellet, vi, skulle, bo, på, ., Vi, ble, også, tatt, med, til, en, av, de, største, filmstudioene, i, Hollywood, ,, nemlig, Warner, Brothers, ., Her, fikk, vi, se, en, film, om, hvordan, de, lager, filmer, ,, og, vi, fikk, også, se, en, film, om, hvordan, de, lager, reklamefilmer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, musikkvideoer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, musikkvideoer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, reklamefilmer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, reklamefilmer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, reklamefilmer, ., Vi, fikk, også, se, en, film, om, hvordan, de, lager, reklam]",ADV VERB PRON NOUN SCONJ PART VERB NOUN ADP DET DET NOUN ADP NOUN SCONJ PART VERB DET ADP DET ADJ CCONJ ADJ ADJ NOUN ADP PROPN PUNCT PRON AUX DET ADJ NOUN PRON VERB ADP ADP NOUN ADP PROPN PROPN PUNCT ADJ SCONJ PART VERB NOUN ADP PROPN PUNCT PRON AUX VERB ADP DET ADJ CCONJ ADJ NOUN PRON VERB PRON ADP ADP NOUN PRON AUX VERB ADP PUNCT PRON AUX ADV VERB ADP ADP DET ADP DET ADJ NOUN ADP PROPN PUNCT ADV PROPN PROPN PUNCT ADV AUX PRON VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT CCONJ PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN PUNCT PRON AUX ADV VERB DET NOUN ADP ADV PRON VERB NOUN,0.039637599093997736,0.38342925659472304,184,883,0.6739130434782609,1.0
"[Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det, var, en, ny, dag, i, går, ., Det, var, som, om, det]",PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP SCONJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP ADP PRON,0.023035230352303523,0.3400000000000029,221,738,0.918552036199095,0.37290732031439194
"[Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ., I, USA, er, det, ikkje, noko, problem, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ,, men, det, er, ikkje, like, lett, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ., Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ,, men, det, er, ikkje, like, lett, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ., Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ,, men, det, er, ikkje, like, lett, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ., Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ,, men, det, er, ikkje, like, lett, å, få, tak, i, nok, av, dei, mest, etterspurde, varene, ., Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg]",PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT ADP PROPN AUX PRON X X NOUN PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB NOUN ADP ADV ADP DET ADJ NOUN NOUN PUNCT PRON VERB X X ADP PROPN SCONJ PRON AUX ADV,0.03638644918444166,0.3645989304812845,180,797,0.7111111111111111,0.5489243892083411
"[Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei, som, har, fått, tilbod, om, studieplass, har, takka, ja, ?, Kor, mange, prosent, av, dei]",ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN PRON AUX VERB NOUN ADP NOUN VERB NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN,0.028639618138424822,0.4086438529784524,170,838,0.6705882352941176,0.31135486053108546
"[Det, er, veldig, mange, som, har, spurt, meg, om, jeg, kan, lage, en, video, om, hvordan, jeg, lager, de, forskjellige, tingene, jeg, bruker, i, hverdagen, ., Jeg, har, ikke, så, mye, tid, til, å, lage, videoer, for, tiden, ,, men, jeg, skal, prøve, å, få, til, en, video, i, løpet, av, de, neste, dagene, ., Jeg, har, også, fått, spørsmål, om, jeg, kan, lage, en, video, om, hvordan, jeg, lager, de, forskjellige, tingene, jeg, bruker, i, hverdagen, ,, så, det, skal, jeg, prøve, å, få, til, en, gang, i, løpet, av, de, neste, dagene, ., Jeg, har, også, fått, spørsmål, om, jeg, kan, lage, en, video, om, hvordan, jeg, lager, de, forskjellige, tingene, jeg, bruker, i, hverdagen, ,, så, det, skal, jeg, prøve, å, få, til, en, gang, i, løpet, av, de, neste, dagene, ., Jeg, har, også, fått, spørsmål, om, jeg, kan, lage, en, video, om, hvordan, jeg, lager, de, forskjellige, tingene, jeg, bruker, i, hverdagen, ,, så, det, skal, jeg, prøve, å, få, til, en, gang, i, løpet, av, de, neste, dagene, ., Jeg, har, også, fått, spørsmål, om, jeg, kan, lage, en, video, om, hvordan, jeg, lager, de, forskjellige, tingene, jeg, bruker, i, hverdagen, ,, så, det, skal, jeg, prøve, å]",PRON AUX ADJ ADJ PRON AUX VERB PRON SCONJ PRON AUX VERB DET NOUN ADP ADV PRON VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT PRON VERB PART ADV ADJ NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT CCONJ PRON AUX VERB PART VERB ADP DET NOUN ADP NOUN ADP DET DET NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ PRON AUX VERB DET NOUN ADP ADV PRON VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ PRON AUX PRON VERB PART VERB ADP DET NOUN ADP NOUN ADP DET DET NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ PRON AUX VERB DET NOUN ADP ADV PRON VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ PRON AUX PRON VERB PART VERB ADP DET NOUN ADP NOUN ADP DET DET NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ PRON AUX VERB DET NOUN ADP ADV PRON VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ PRON AUX PRON VERB PART VERB ADP DET NOUN ADP NOUN ADP DET DET NOUN PUNCT PRON AUX ADV VERB NOUN SCONJ PRON AUX VERB DET NOUN ADP ADV PRON VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ PRON AUX PRON VERB PART,0.029197080291970802,0.38237362637362576,204,959,0.696078431372549,1.0
