category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,#munter# er for #muntert# som #hel# er for #helhetlig# som,helhetlig,helt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektivt## og #,effektivt,effektivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldig# er for,heldig,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,"#munter# er for #muntert# som #fri# er for #friske#, #",friske,fritt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,"#munter# er for #muntert# som #umiddelbar# er for #umiddelbart#,",umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,#munter# er for #muntert# som #sjelden# er for #muntert.# Dette,muntert,sjeldent,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,#munter# er for #muntert# som #åpenbar# er for #åpenbart#:,åpenbart,åpenbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #mulig#. Det,mulig,muligens,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presist: #,presist,presist,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonelt# -,profesjonelt,profesjonelt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,#munter# er for #muntert# som #rask# er for #rask# som #v,rask,raskt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,"#munter# er for #muntert# som #trygg# er for #trygget#,",trygget,trygt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #hurtig# - og,hurtig,langsomt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kjapp# I #,kjapp,kjapt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #ufullstendig#.,ufullstendig,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanlig#. #mun,vanlig,vanligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,#munter# er for #muntert# som #nødvendig# er for #humor# . .,humor,nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #aktivt#. Og,aktivt,aktivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bittert#.,bittert,bittert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fin# er for #,#munter# er for #muntert# som #fin# er for #fin#,fin,fint,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #tilfeldig# er for #,#munter# er for #muntert# som #tilfeldig# er for #tilfeldig#.,tilfeldig,tilfeldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #normal# er for #,#munter# er for #muntert# som #normal# er for #normalt#. ,normalt,normalt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sikker# er for #,#munter# er for #muntert# som #sikker# er for #sikkert#.,sikkert,sikkert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #spesiell# er for #,#munter# er for #muntert# som #spesiell# er for #spesielt#. Og,spesielt,spesielt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vakker# er for #,#munter# er for #muntert# som #vakker# er for #snill# og #,snill,vakkert,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #unormal# er for #,#munter# er for #muntert# som #unormal# er for #normal# | Just,normal,unormalt,False
