category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,#munter# er for #muntert# som #hel# er for #helt#. Og,helt,helt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektivt## og #,effektivt,effektivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldige# som er,heldige,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,"#munter# er for #muntert# som #fri# er for #friske#, #",friske,fritt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,#munter# er for #muntert# som #umiddelbar# er for #umiddelbart# osv.,umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,#munter# er for #muntert# som #sjelden# er for #sjel# dent#,sjel,sjeldent,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,"#munter# er for #muntert# som #åpenbar# er for #åpen#, #",åpen,åpenbart,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #mulig# som #,mulig,muligens,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presise#.,presise,presist,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonelle#.,profesjonelle,profesjonelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,"#munter# er for #muntert# som #rask# er for #raskhet#, sier",raskhet,raskt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,#munter# er for #muntert# som #trygg# er for #trygget# eller,trygget,trygt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #lang# som #t,lang,langsomt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kjapp# og #,kjapp,kjapt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #uflax# og,uflax,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanlig#. #M,vanlig,vanligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,#munter# er for #muntert# som #nødvendig# er for #de# munkek,de,nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #aktive# og #ut,aktive,aktivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bittert#.,bittert,bittert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fin# er for #,#munter# er for #muntert# som #fin# er for #fin#,fin,fint,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #tilfeldig# er for #,#munter# er for #muntert# som #tilfeldig# er for #lykketreffet#,lykketreffet,tilfeldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #normal# er for #,#munter# er for #muntert# som #normal# er for #normalt#. ,normalt,normalt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sikker# er for #,#munter# er for #muntert# som #sikker# er for #sikkert#.,sikkert,sikkert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #spesiell# er for #,#munter# er for #muntert# som #spesiell# er for #spesielle#. Og,spesielle,spesielt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vakker# er for #,#munter# er for #muntert# som #vakker# er for #snill# og #,snill,vakkert,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #unormal# er for #,#munter# er for #muntert# som #unormal# er for #unormale#.,unormale,unormalt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kriminell# er for #,"#munter# er for #muntert# som #kriminell# er for #kriminal#.
Forlag","kriminal#.
Forlag",kriminelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #grov# er for #,#munter# er for #muntert# som #grov# er for #grover# [s,grover,grovt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fæl# er for #,"#munter# er for #muntert# som #fæl# er for #fælt#.
Vi kan","fælt#.
Vi",fælt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sannsynlig# er for #,#munter# er for #muntert# som #sannsynlig# er for #sannsynlige#,sannsynlige,sannsynligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #naturlig# er for #,"#munter# er for #muntert# som #naturlig# er for #naturen#, som",naturen,naturligvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #effektiv# er for #,"#hel# er for #helt# som #effektiv# er for #effektiv#, og",effektiv,effektivt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #heldig# er for #,#hel# er for #helt# som #heldig# er for #hell#» — Kre,hell#»,heldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fri# er for #,#hel# er for #helt# som #fri# er for #fange#. Det,fange,fritt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #umiddelbar# er for #,"#hel# er for #helt# som #umiddelbar# er for #umiddelbart#,",umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sjelden# er for #,#hel# er for #helt# som #sjelden# er for #sjelden# som,sjelden,sjeldent,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #åpenbar# er for #,#hel# er for #helt# som #åpenbar# er for #åpning# av #,åpning,åpenbart,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #mulig# er for #,#hel# er for #helt# som #mulig# er for #medmenneskelighet#,medmenneskelighet,muligens,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #presis# er for #,#hel# er for #helt# som #presis# er for #pirket# #,pirket,presist,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #profesjonell# er for #,#hel# er for #helt# som #profesjonell# er for #amatør#.,amatør,profesjonelt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #rask# er for #,#hel# er for #helt# som #rask# er for #rask# fisk. Når,rask,raskt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #trygg# er for #,#hel# er for #helt# som #trygg# er for #trygghet# og,trygghet,trygt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #langsom# er for #,"#hel# er for #helt# som #langsom# er for #lang# osv.
Part",lang,langsomt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #kjapp# er for #,"#hel# er for #helt# som #kjapp# er for #kjapp#, bare",kjapp,kjapt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #uheldig# er for #,#hel# er for #helt# som #uheldig# er for #uhell#: Det,uhell,uheldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #vanlig# er for #,#hel# er for #helt# som #vanlig# er for #vakker# og #,vakker,vanligvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #nødvendig# er for #,#hel# er for #helt# som #nødvendig# er for #en# som #s,en,nødvendigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #aktiv# er for #,#hel# er for #helt# som #aktiv# er for #sitt#. ,sitt,aktivt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #bitter# er for #,#hel# er for #helt# som #bitter# er for #bitter#. #,bitter,bittert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fin# er for #,"#hel# er for #helt# som #fin# er for #fint#, #",fint,fint,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #tilfeldig# er for #,"#hel# er for #helt# som #tilfeldig# er for #treffsikker#
#","treffsikker#
",tilfeldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #normal# er for #,"#hel# er for #helt# som #normal# er for #perfekt#
«N","perfekt#
«N",normalt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sikker# er for #,"#hel# er for #helt# som #sikker# er for #sikkert#
#H","sikkert#
#H",sikkert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #spesiell# er for #,"#hel# er for #helt# som #spesiell# er for #spesiell# som
#",spesiell,spesielt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #vakker# er for #,#hel# er for #helt# som #vakker# er for #vakker#. Det,vakker,vakkert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #unormal# er for #,"#hel# er for #helt# som #unormal# er for #vanlig#
I min jobb","vanlig#
I",unormalt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #kriminell# er for #,#hel# er for #helt# som #kriminell# er for #kriminell# som,kriminell,kriminelt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #grov# er for #,#hel# er for #helt# som #grov# er for #grovbrød#.,grovbrød,grovt,False
