category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,#munter# er for #muntert# som #hel# er for #helsetilsyn#,helsetilsyn,helt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektivt## og #,effektivt,effektivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldiggris#,heldiggris,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,"#munter# er for #muntert# som #fri# er for #frelser#, #",frelser,fritt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,"#munter# er for #muntert# som #umiddelbar# er for #umiddel#, #",umiddel,umiddelbart,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,"#munter# er for #muntert# som #sjelden# er for #sjelen#
Det","sjelen#
Det",sjeldent,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,#munter# er for #muntert# som #åpenbar# er for #åpenbart#.,åpenbart,åpenbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #muligens# Det,muligens,muligens,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presis#.,presis,presist,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonell og #,profesjonell,profesjonelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,"#munter# er for #muntert# som #rask# er for #rasken#, sier",rasken,raskt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,#munter# er for #muntert# som #trygg# er for #trygghet# eller,trygghet,trygt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #langsom# og #,langsom,langsomt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kraftig# og #,kraftig,kjapt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #uflax# og,uflax,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanligvis#. #,vanligvis,vanligvis,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,"#munter# er for #muntert# som #nødvendig# er for #nødet#.
#n","nødet#.
#n",nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #aktivt# og #,aktivt,aktivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bidsk#.,bidsk,bittert,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fin# er for #,#munter# er for #muntert# som #fin# er for #finest,finest,fint,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #tilfeldig# er for #,#munter# er for #muntert# som #tilfeldig# er for #tilfeldiger#,tilfeldiger,tilfeldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #normal# er for #,#munter# er for #muntert# som #normal# er for #normalt#. ,normalt,normalt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sikker# er for #,#munter# er for #muntert# som #sikker# er for #sikkert#.,sikkert,sikkert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #spesiell# er for #,"#munter# er for #muntert# som #spesiell# er for #spesielt#.
Jeg vil","spesielt#.
Jeg",spesielt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vakker# er for #,#munter# er for #muntert# som #vakker# er for #snill# og #,snill,vakkert,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #unormal# er for #,#munter# er for #muntert# som #unormal# er for #normal# | G,normal,unormalt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kriminell# er for #,"#munter# er for #muntert# som #kriminell# er for #kriminal#
#mun","kriminal#
#mun",kriminelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #grov# er for #,"#munter# er for #muntert# som #grov# er for #gratis#
Jeg vil","gratis#
Jeg",grovt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fæl# er for #,#munter# er for #muntert# som #fæl# er for #fælt#. En,fælt,fælt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sannsynlig# er for #,#munter# er for #muntert# som #sannsynlig# er for #sannsynlighet#,sannsynlighet,sannsynligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #naturlig# er for #,#munter# er for #muntert# som #naturlig# er for #naturligvis#,naturligvis,naturligvis,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #effektiv# er for #,"#hel# er for #helt# som #effektiv# er for #effektivt#, og",effektivt,effektivt,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #heldig# er for #,#hel# er for #helt# som #heldig# er for #heldig# som,heldig,heldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fri# er for #,#hel# er for #helt# som #fri# er for #frilans#?,frilans,fritt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #umiddelbar# er for #,#hel# er for #helt# som #umiddelbar# er for #umiddelbart#.,umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sjelden# er for #,#hel# er for #helt# som #sjelden# er for #sjeldenAt#,sjeldenAt,sjeldent,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #åpenbar# er for #,#hel# er for #helt# som #åpenbar# er for #åpnebar#.,åpnebar,åpenbart,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #mulig# er for #,#hel# er for #helt# som #mulig# er for #med stor sannsynlighet det best,med,muligens,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #presis# er for #,#hel# er for #helt# som #presis# er for #presis& #,presis,presist,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #profesjonell# er for #,#hel# er for #helt# som #profesjonell# er for #proffesional#,proffesional,profesjonelt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #rask# er for #,"#hel# er for #helt# som #rask# er for #raske# ;)
#",raske,raskt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #trygg# er for #,#hel# er for #helt# som #trygg# er for #trygt# og #,trygt,trygt,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #langsom# er for #,"#hel# er for #helt# som #langsom# er for #langsint#.
#","langsint#.
",langsomt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #kjapp# er for #,"#hel# er for #helt# som #kjapp# er for #kjapt#, #",kjapt,kjapt,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #uheldig# er for #,#hel# er for #helt# som #uheldig# er for #uhell#? –,uhell,uheldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #vanlig# er for #,#hel# er for #helt# som #vanlig# er for #vanskelig og #,vanskelig,vanligvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #nødvendig# er for #,#hel# er for #helt# som #nødvendig# er for #nødvendig#.,nødvendig,nødvendigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #aktiv# er for #,#hel# er for #helt# som #aktiv# er for #sitt#. ,sitt,aktivt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #bitter# er for #,#hel# er for #helt# som #bitter# er for #bitter#. #,bitter,bittert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fin# er for #,"#hel# er for #helt# som #fin# er for #fint#, #",fint,fint,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #tilfeldig# er for #,"#hel# er for #helt# som #tilfeldig# er for #tilfeldige#
#","tilfeldige#
",tilfeldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #normal# er for #,#hel# er for #helt# som #normal# er for #normal#.,normal,normalt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sikker# er for #,"#hel# er for #helt# som #sikker# er for #sikkert#
#W","sikkert#
#W",sikkert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #spesiell# er for #,#hel# er for #helt# som #spesiell# er for #spesielle#. @,spesielle,spesielt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #vakker# er for #,"#hel# er for #helt# som #vakker# er for #vakkert#
[","vakkert#
",vakkert,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #unormal# er for #,#hel# er for #helt# som #unormal# er for #ugyldig#. Ord,ugyldig,unormalt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #kriminell# er for #,"#hel# er for #helt# som #kriminell# er for #kriminelt#
#","kriminelt#
",kriminelt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #grov# er for #,"#hel# er for #helt# som #grov# er for #grovt#.
#hel","grovt#.
#hel",grovt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fæl# er for #,#hel# er for #helt# som #fæl# er for #fint# #p,fint,fælt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sannsynlig# er for #,#hel# er for #helt# som #sannsynlig# er for #sannsynligvis#,sannsynligvis,sannsynligvis,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #naturlig# er for #,#hel# er for #helt# som #naturlig# er for #naturlig#.,naturlig,naturligvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #munter# er for #,#hel# er for #helt# som #munter# er for #mørk#. Man,mørk,muntert,False
